RNA Puzzles 3 ID: RNA_Puzzles3/3_solution.pdb	-94.4051
RNA Puzzles 3 ID: RNA_Puzzles3/3_solution_0.pdb	-94.4051
RNA Puzzles 3 ID: RNA_Puzzles3/3_solution_1.pdb	-94.4051
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_solution_0.pdb	-94.4051
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_solution_0.pdb	-94.4051
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Bujnicki_1.pdb	-22.694
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Bujnicki_2.pdb	-13.7128
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Chen_1.pdb	-24.7443
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Das_1.pdb	-20.5318
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Das_2.pdb	-9.4774
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Das_3.pdb	-22.5415
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Das_4.pdb	-22.0952
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Das_5.pdb	-7.6841
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Dokholyan_1.pdb	-39.5642
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Dokholyan_1.pdb	-39.5642
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Major_1.pdb	-12.3792
RNA Puzzles 3 ID: RNA_Puzzles3/PZ3_Major_1.pdb	-12.3792
